mutator,step_num,domain,entropy,watermark_detected,watermark_score
DocumentMutator,-1,Fashion ,high,False,-1
DocumentMutator,0,Fashion ,high,False,-1
DocumentMutator,1,Fashion ,high,False,-1
DocumentMutator,2,Fashion ,high,False,-1
DocumentMutator,3,Fashion ,high,False,-1
DocumentMutator,4,Fashion ,high,False,-1
DocumentMutator,5,Fashion ,high,False,-1
DocumentMutator,6,Fashion ,high,False,-1
DocumentMutator,7,Fashion ,high,False,-1
DocumentMutator,8,Fashion ,high,False,-1
DocumentMutator,9,Fashion ,high,False,-1
DocumentMutator,10,Fashion ,high,False,-1
DocumentMutator,11,Fashion ,high,False,-1
DocumentMutator,12,Fashion ,high,False,-1
DocumentMutator,13,Fashion ,high,False,-1
DocumentMutator,14,Fashion ,high,False,-1
DocumentMutator,15,Fashion ,high,False,-1
DocumentMutator,16,Fashion ,high,False,-1
DocumentMutator,17,Fashion ,high,False,-1
DocumentMutator,18,Fashion ,high,False,-1
DocumentMutator,19,Fashion ,high,False,-1
DocumentMutator,20,Fashion ,high,False,-1
DocumentMutator,21,Fashion ,high,False,-1
DocumentMutator,22,Fashion ,high,False,-1
DocumentMutator,23,Fashion ,high,False,-1
DocumentMutator,24,Fashion ,high,False,-1
DocumentMutator,25,Fashion ,high,False,-1
DocumentMutator,26,Fashion ,high,False,-1
DocumentMutator,27,Fashion ,high,False,-1
DocumentMutator,28,Fashion ,high,False,-1
DocumentMutator,29,Fashion ,high,False,-1
DocumentMutator,30,Fashion ,high,False,-1
DocumentMutator,31,Fashion ,high,False,-1
DocumentMutator,32,Fashion ,high,False,-1
DocumentMutator,33,Fashion ,high,False,-1
DocumentMutator,34,Fashion ,high,False,-1
DocumentMutator,35,Fashion ,high,False,-1
DocumentMutator,36,Fashion ,high,False,-1
DocumentMutator,37,Fashion ,high,False,-1
DocumentMutator,38,Fashion ,high,False,-1
DocumentMutator,39,Fashion ,high,False,-1
DocumentMutator,40,Fashion ,high,False,-1
DocumentMutator,41,Fashion ,high,False,-1
DocumentMutator,42,Fashion ,high,False,-1
DocumentMutator,43,Fashion ,high,False,-1
DocumentMutator,44,Fashion ,high,False,-1
DocumentMutator,45,Fashion ,high,False,-1
DocumentMutator,46,Fashion ,high,False,-1
DocumentMutator,47,Fashion ,high,False,-1
DocumentMutator,48,Fashion ,high,False,-1
DocumentMutator,49,Fashion ,high,False,-1
DocumentMutator,50,Fashion ,high,False,-1
DocumentMutator,51,Fashion ,high,False,-1
DocumentMutator,52,Fashion ,high,False,-1
DocumentMutator,53,Fashion ,high,False,-1
DocumentMutator,54,Fashion ,high,False,-1
DocumentMutator,55,Fashion ,high,False,-1
DocumentMutator,56,Fashion ,high,False,-1
DocumentMutator,57,Fashion ,high,False,-1
DocumentMutator,58,Fashion ,high,False,-1
DocumentMutator,59,Fashion ,high,False,-1
DocumentMutator,60,Fashion ,high,False,-1
DocumentMutator,61,Fashion ,high,False,-1
DocumentMutator,62,Fashion ,high,False,-1
DocumentMutator,63,Fashion ,high,False,-1
DocumentMutator,64,Fashion ,high,False,-1
DocumentMutator,65,Fashion ,high,False,-1
DocumentMutator,66,Fashion ,high,False,-1
DocumentMutator,67,Fashion ,high,False,-1
DocumentMutator,68,Fashion ,high,False,-1
DocumentMutator,69,Fashion ,high,False,-1
DocumentMutator,70,Fashion ,high,False,-1
DocumentMutator,71,Fashion ,high,False,-1
DocumentMutator,72,Fashion ,high,False,-1
DocumentMutator,73,Fashion ,high,False,-1
DocumentMutator,74,Fashion ,high,False,-1
DocumentMutator,75,Fashion ,high,False,-1
DocumentMutator,76,Fashion ,high,False,-1
DocumentMutator,77,Fashion ,high,False,-1
DocumentMutator,78,Fashion ,high,False,-1
DocumentMutator,79,Fashion ,high,False,-1
DocumentMutator,80,Fashion ,high,False,-1
DocumentMutator,81,Fashion ,high,False,-1
DocumentMutator,82,Fashion ,high,False,-1
DocumentMutator,83,Fashion ,high,False,-1
DocumentMutator,84,Fashion ,high,False,-1
DocumentMutator,85,Fashion ,high,False,-1
DocumentMutator,86,Fashion ,high,False,-1
DocumentMutator,87,Fashion ,high,False,-1
DocumentMutator,88,Fashion ,high,False,-1
DocumentMutator,89,Fashion ,high,False,-1
DocumentMutator,90,Fashion ,high,False,-1
DocumentMutator,91,Fashion ,high,False,-1
DocumentMutator,92,Fashion ,high,False,-1
DocumentMutator,93,Fashion ,high,False,-1
DocumentMutator,94,Fashion ,high,False,-1
DocumentMutator,95,Fashion ,high,False,-1
DocumentMutator,96,Fashion ,high,False,-1
DocumentMutator,97,Fashion ,high,False,-1
DocumentMutator,98,Fashion ,high,False,-1
DocumentMutator,99,Fashion ,high,False,-1
DocumentMutator,100,Fashion ,high,False,-1
DocumentMutator,101,Fashion ,high,False,-1
DocumentMutator,102,Fashion ,high,False,-1
DocumentMutator,103,Fashion ,high,False,-1
DocumentMutator,104,Fashion ,high,False,-1
DocumentMutator,105,Fashion ,high,False,-1
DocumentMutator,106,Fashion ,high,False,-1
DocumentMutator,107,Fashion ,high,False,-1
DocumentMutator,108,Fashion ,high,False,-1
DocumentMutator,109,Fashion ,high,False,-1
DocumentMutator,110,Fashion ,high,False,-1
DocumentMutator,111,Fashion ,high,False,-1
DocumentMutator,112,Fashion ,high,False,-1
DocumentMutator,113,Fashion ,high,False,-1
DocumentMutator,114,Fashion ,high,False,-1
DocumentMutator,115,Fashion ,high,False,-1
DocumentMutator,116,Fashion ,high,False,-1
DocumentMutator,117,Fashion ,high,False,-1
DocumentMutator,118,Fashion ,high,False,-1
DocumentMutator,119,Fashion ,high,False,-1
DocumentMutator,120,Fashion ,high,False,-1
DocumentMutator,121,Fashion ,high,False,-1
DocumentMutator,122,Fashion ,high,False,-1
DocumentMutator,123,Fashion ,high,False,-1
DocumentMutator,124,Fashion ,high,False,-1
DocumentMutator,125,Fashion ,high,False,-1
